X1,UserName,DateTime,ShinyApp
"1","nick.dawe",2018-05-29 11:52:16,"OPEXAudit"
"1","nick.dawe",2018-05-29 11:52:53,"OPEXAudit"
"1","nick.dawe",2018-05-29 12:02:18,"OPEXAudit"
"1","nick.dawe",2018-05-29 12:08:43,"OPEXAudit"
"1","nick.dawe",2018-05-29 12:09:13,"OPEXAudit"
"1","nick.dawe",2018-05-29 12:15:09,"OPEXAudit"
"1","nick.dawe",2018-05-29 12:55:45,"OPEXAudit"
"1","nick.dawe",2018-05-29 13:00:47,"OPEXAudit"
"1","nick.dawe",2018-05-29 13:03:06,"OPEXAudit"
"1",1527563134.71261
"1","nick.dawe",2018-05-29 13:08:58,"OPEXAudit"
"1","nick.dawe",2018-05-29 13:09:51,"OPEXAudit"
"1","nick.dawe",2018-05-30 09:54:09,"OPEXAudit"
"1","nick.dawe",2018-05-30 09:57:30,"OPEXAudit"
"1","nick.dawe",2018-05-30 09:57:47,"OPEXAudit"
"1","nick.dawe",2018-06-09 01:02:26,"OPEXAudit"
"1","nick.dawe",2018-06-14 11:46:14,"OPEXAudit"
"1","nick.dawe",2018-06-14 11:47:26,"OPEXAudit"
"1","nick.dawe",2018-06-14 15:52:15,"OPEXAudit"
"1","nick.dawe",2018-06-18 09:19:35,"OPEXAudit"
"1","nick.dawe",2018-06-18 09:39:33,"OPEXAudit"
"1","nick.dawe",2018-06-18 12:22:28,"OPEXAudit"
"1",1529288562.90521
"1",1529288629.86202
"1","nick.dawe",2018-06-18 12:27:00,"OPEXAudit"
"1",1529288830.23112
"1",1529289038.07839
"1","nick.dawe",2018-06-18 10:31:42,"OPEXAudit"
"1",1529289117.66308
"1",1529289147.40006
"1",1529289340.40736
"1",1529289369.91731
"1","nick.dawe",2018-06-18 10:36:23,"OPEXAudit"
"1",1529289392.72159
"1",1529289580.9154
"1","nick.dawe",2018-06-19 23:37:04,"OPEXAudit"
"1","nick.dawe",2018-07-04 17:22:06,"OPEXAudit"
"1","nick.dawe",2018-07-09 15:11:49,"OPEXAudit"
"1","nick.dawe",2018-07-09 15:16:33,"OPEXAudit"
"1","nick.dawe",2018-07-09 15:17:21,"OPEXAudit"
"1","nick.dawe",2018-07-09 15:18:15,"OPEXAudit"
"1","nick.dawe",2018-07-09 15:18:33,"OPEXAudit"
"1",1531113530.13155
"1","nick.dawe",2018-07-09 15:19:22,"OPEXAudit"
"1",1531113569.5007
"1","nick.dawe",2018-07-09 15:20:49,"OPEXAudit"
"1",1531113657.54106
"1",1531113907.92678
"1","nick.dawe",2018-07-09 15:25:39,"OPEXAudit"
"1",1531113946.51831
"1","nick.dawe",2018-07-09 15:26:03,"OPEXAudit"
"1",1531113969.59337
"1","nick.dawe",2018-07-09 15:26:43,"OPEXAudit"
"1",1531114010.63958
"1","nick.dawe",2018-07-09 15:29:57,"OPEXAudit"
"1",1531114202.08467
"1","nick.dawe",2018-07-09 15:31:12,"OPEXAudit"
"1",1531114278.71511
"1","nick.dawe",2018-07-09 15:32:40,"OPEXAudit"
"1",1531114366.40815
"1","nick.dawe",2018-07-09 15:33:04,"OPEXAudit"
"1",1531114390.13282
"1","nick.dawe",2018-07-09 15:33:56,"OPEXAudit"
"1",1531114442.77836
"1","nick.dawe",2018-07-09 15:36:32,"OPEXAudit"
"1",1531114597.95069
"1","nick.dawe",2018-07-09 15:37:38,"OPEXAudit"
"1",1531114663.71283
"1","nick.dawe",2018-07-09 15:37:53,"OPEXAudit"
"1",1531114679.90431
"1","nick.dawe",2018-07-09 15:41:21,"OPEXAudit"
"1",1531114886.17574
"1","nick.dawe",2018-07-09 15:43:42,"OPEXAudit"
"1",1531115033.97399
"1","nick.dawe",2018-07-09 15:44:46,"OPEXAudit"
"1",1531115092.50223
"1","nick.dawe",2018-07-09 15:45:19,"OPEXAudit"
"1",1531115125.11275
"1","nick.dawe",2018-07-09 15:46:14,"OPEXAudit"
"1",1531115179.99856
"1","nick.dawe",2018-07-09 15:48:26,"OPEXAudit"
"1",1531115312.27937
"1","nick.dawe",2018-07-09 16:14:10,"OPEXAudit"
"1",1531116865.84316
"1","nick.dawe",2018-07-09 16:17:02,"OPEXAudit"
"1","nick.dawe",2018-07-09 16:17:56,"OPEXAudit"
"1","nick.dawe",2018-07-09 16:19:15,"OPEXAudit"
"1","nick.dawe",2018-07-09 16:19:58,"OPEXAudit"
"1","nick.dawe",2018-07-09 16:20:56,"OPEXAudit"
"1","nick.dawe",2018-07-09 16:22:35,"OPEXAudit"
"1","nick.dawe",2018-07-09 16:23:43,"OPEXAudit"
"1","nick.dawe",2018-07-09 16:25:02,"OPEXAudit"
"1",1531117509.05621
"1","nick.dawe",2018-07-09 16:25:49,"OPEXAudit"
"1",1531117601.59637
"1","nick.dawe",2018-07-09 16:36:45,"OPEXAudit"
"1",1531118212.1363
"1",1531119523.73936
